tool_id,tool_name,new_task,cost,payment_methods,student_discount
chatgpt,ChatGPT,Writing & Productivity,Paid plans,"Egyptian Visa, International card",False
claude,Claude,Writing & Productivity,Paid plans,"Egyptian Visa, International card",False
gemini,Google Gemini,Writing & Productivity,Paid plans,"Egyptian Visa, International card",True
copilot365,Microsoft Copilot,Writing & Productivity,Paid plans,"Egyptian Visa, International card",False
grammarly,Grammarly,Writing & Productivity,Paid plans,"Egyptian Visa, International card",False
deepl,DeepL,Writing & Productivity,Paid plans,"Egyptian Visa, International card",False
quillbot,QuillBot,Writing & Productivity,Paid plans,"Egyptian Visa, International card",False
perplexity,Perplexity,Research,Paid plans,"Egyptian Visa, International card",True
notebooklm,NotebookLM,Research,Free,None (Free / No card needed),False
elicit,Elicit,Research,Paid plans,"Egyptian Visa, International card",False
consensus,Consensus,Research,Paid plans,"Egyptian Visa, International card",False
semanticscholar,Semantic Scholar,Research,Free,None (Free / No card needed),False
connectedpapers,Connected Papers,Research,Paid plans,"Egyptian Visa, International card",False
zotero,Zotero,Research,Free,None (Free / No card needed),False
githubcopilot,GitHub Copilot,Coding,Paid plans,"Egyptian Visa, International card",True
cursor,Cursor,Coding,Paid plans,"Egyptian Visa, International card",False
claudecode,Claude Code,Coding,Paid plans,"Egyptian Visa, International card",False
replit,Replit,Coding,Paid plans,"Egyptian Visa, International card",False
midjourney,Midjourney,Image & Design,Paid plans,"Egyptian Visa, International card",False
firefly,Adobe Firefly,Image & Design,Paid plans,"Egyptian Visa, International card",True
stablediffusion,Stable Diffusion,Image & Design,Free,None (Free / No card needed),False
leonardo,Leonardo AI,Image & Design,Paid plans,"Egyptian Visa, International card",False
runway,Runway,Video,Paid plans,"Egyptian Visa, International card",False
synthesia,Synthesia,Video,Paid plans,"Egyptian Visa, International card",False
descript,Descript,Video,Paid plans,"Egyptian Visa, International card",False
elevenlabs,ElevenLabs,Audio,Paid plans,"Egyptian Visa, International card",False
whisper,Whisper,Audio,Free,None (Free / No card needed),False
otter,Otter.ai,Audio,Paid plans,"Egyptian Visa, International card",False
gamma,Gamma,Writing & Productivity,Paid plans,"Egyptian Visa, International card",False
beautifulai,Beautiful.ai,Writing & Productivity,Paid plans,"Egyptian Visa, International card",False
canva,Canva,Image & Design,Paid plans,"Egyptian Visa, International card",True
figma,Figma,Image & Design,Paid plans,"Egyptian Visa, International card",True
notion,Notion AI,Writing & Productivity,Paid plans,"Egyptian Visa, International card",True
n8n,n8n,Agents & Automation,Free,None (Free / No card needed),False
zapier,Zapier,Agents & Automation,Paid plans,"Egyptian Visa, International card",False
make,Make,Agents & Automation,Paid plans,"Egyptian Visa, International card",False
huggingface,Hugging Face,Data,Paid plans,"Egyptian Visa, International card",False
colab,Google Colab,Data,Paid plans,"Egyptian Visa, International card",False
julius,Julius AI,Data,Paid plans,"Egyptian Visa, International card",False
khanmigo,Khanmigo,Writing & Productivity,Paid plans,"Egyptian Visa, International card",False
browser_use,browser-use,Agents & Automation,Free,None (Free / No card needed),False
crewai,CrewAI,Agents & Automation,Free,None (Free / No card needed),False
langgraph,LangGraph,Agents & Automation,Free,None (Free / No card needed),False
autogen,Microsoft AutoGen,Agents & Automation,Free,None (Free / No card needed),False
