id,name,vendor,category,new_task,reassigned_from,reassignment_reason,cost_type,payment_methods_display,student_discount,student_badge_text,student_url,pricingType,startingPrice,priceValue,freePlan,studentPlan,openSource,country,chineseAI,huggingFace,apiAvailable,egyptianVisaStatus,acceptsEgyptianVisa,paymentMethods,supportedCurrencies,acceptsCreditCard,acceptsDebitCard,requiresForeignCurrency,supportsUSD,hardwareRequirements,contextWindow,benchmarkScore,bestFor,tags,officialWebsite
chatgpt,ChatGPT,OpenAI,writing,Writing & Productivity,none,-,Paid plans,"Egyptian Visa, International card",False,,,Pay-As-You-Go API / Subscription,Free · paid from $8/mo,0.0,True,No standing global student discount on Plus. Regional promotions have appeared and closed — check before assuming eligibility.,False,United States,False,False,True,verified,True,"['Credit Card (Visa / Mastercard)', 'American Express', 'Apple Pay', 'Google Pay']","['USD', 'EUR']",True,False,True,True,"Cloud service (web browser, iOS, Android, macOS, Windows apps)",128k - 200k tokens,AIME 2024: 83.3% | Math-500: 96.4% | MMLU: 88.7%,"Research, writing, analysis, coding, brainstorming","['Academic writing', 'Literature review', 'Coding', 'Data analysis', 'Teaching']",https://openai.com/chatgpt/pricing/
claude,Claude,Anthropic,writing,Writing & Productivity,none,-,Paid plans,"Egyptian Visa, International card",False,,,Pay-As-You-Go API / Subscription,Free · Pro $20/mo,0.0,True,No standing student discount published for Pro. Annual billing lowers the effective monthly rate.,False,United States,False,False,True,verified,True,"['Credit Card (Visa / Mastercard)', 'American Express', 'Apple Pay', 'Google Pay']","['USD', 'EUR']",True,False,True,True,"Cloud service (web browser, iOS, Android, Claude Code CLI)",200k tokens (8k output),SWE-bench Verified: 51.4% | GPQA Diamond: 65.0% | HumanEval: 93.7%,"Long-document analysis, academic editing, structured writing, coding","['Academic writing', 'Literature review', 'Coding', 'Data analysis']",https://claude.com/pricing
gemini,Google Gemini,Google,writing,Writing & Productivity,none,-,Paid plans,"Egyptian Visa, International card",True,Student discount,https://one.google.com/,Pay-As-You-Go API / Subscription,Free · paid from ~$8/mo,0.0,True,"A 12-month free student offer has been running, verified through SheerID and requiring a payment method. The tier granted differs by country, and discounted student rates apply where the free tier is not offered.",False,United States,False,False,True,verified,True,"['Credit Card (Visa / Mastercard)', 'American Express', 'Apple Pay', 'Google Pay']","['USD', 'EUR']",True,False,True,True,"Cloud service (web browser, Google AI Studio, mobile app)",1M - 2M tokens,MMLU-Pro: 74.0% | Video-MME: 84.8% | 2M Retrieval: 99.8%,"Everyday assistance inside Google Workspace, study support, multimodal tasks","['Academic writing', 'Literature review', 'Teaching', 'Data analysis']",https://gemini.google/subscriptions/
copilot365,Microsoft Copilot,Microsoft,productivity,Writing & Productivity,none,-,Paid plans,"Egyptian Visa, International card",False,,,Pay-As-You-Go API / Subscription,Free chat · paid tiers vary,0.0,True,No consumer student discount published. Many universities already hold Microsoft 365 Education licences — check what your institutional account includes before buying anything personally.,False,United States,False,False,True,verified,True,"['Credit Card (Visa / Mastercard)', 'American Express', 'Apple Pay', 'Google Pay']","['USD', 'EUR']",True,False,True,True,Cloud service (requires Microsoft 365 tenant license),32k - 128k tokens,Document QA Precision: 94.5%,"Drafting and editing inside Office documents, meeting summaries, slide generation","['Academic writing', 'Presentations', 'Teaching']",https://www.microsoft.com/microsoft-copilot
grammarly,Grammarly,Grammarly,writing,Writing & Productivity,none,-,Paid plans,"Egyptian Visa, International card",False,,,Freemium / Paid Tier,Free · paid tiers vary,0.0,True,Institutional and student programmes exist in some markets; terms not re-checked.,False,United States,False,False,False,verified,True,"['Credit Card (Visa / Mastercard)', 'American Express', 'Apple Pay', 'Google Pay']","['USD', 'EUR']",True,False,True,True,"Cloud service (browser extension, desktop app, Word plugin)",128k tokens,MMLU: 80%+ | Academic Writing Quality F1: 0.88,"Proofreading, clarity editing, and consistency in academic English",['Academic writing'],https://www.grammarly.com/plans
deepl,DeepL,DeepL SE,writing,Writing & Productivity,none,-,Paid plans,"Egyptian Visa, International card",False,,,Pay-As-You-Go API / Subscription,Free · paid tiers vary,0.0,True,No standing student rate confirmed.,False,Germany,False,False,True,verified,True,"['Credit Card (Visa / Mastercard)', 'American Express', 'Apple Pay', 'Google Pay']","['USD', 'EUR']",True,False,True,True,"Cloud service (web browser, desktop apps, API)",Corpus: 100M+ Academic Papers & Semantic Citations,Citation Precision: 96%+ | Peer-Reviewed Evidence Synthesis,"Translating papers, abstracts, and correspondence","['Translation', 'Academic writing']",https://www.deepl.com/pro
quillbot,QuillBot,Learneo,writing,Writing & Productivity,none,-,Paid plans,"Egyptian Visa, International card",False,,,Freemium / Paid Tier,Free · paid tiers vary,0.0,True,Student-oriented pricing has been offered; terms not re-checked.,False,United States,False,False,False,verified,True,"['Credit Card (Visa / Mastercard)', 'American Express', 'Apple Pay', 'Google Pay']","['USD', 'EUR']",True,False,True,True,"Cloud service (web browser, extensions)",128k tokens,MMLU: 80%+ | Academic Writing Quality F1: 0.88,"Rephrasing, summarising sources, and citation formatting","['Academic writing', 'Literature review']",https://quillbot.com/premium
perplexity,Perplexity,Perplexity AI,research,Research,none,-,Paid plans,"Egyptian Visa, International card",True,Student discount,https://www.perplexity.ai/pro,Pay-As-You-Go API / Subscription,Free · Pro $20/mo,0.0,True,A verified education rate for students and educators is published and has been reported between $5 and $10 per month — confirm the current figure before subscribing. Free 12-month student promotions have also run in some markets.,False,United States,False,False,True,verified,True,"['Credit Card (Visa / Mastercard)', 'American Express', 'Apple Pay', 'Google Pay']","['USD', 'EUR']",True,False,True,True,"Cloud service (web browser, iOS, Android)",Corpus: 100M+ Academic Papers & Semantic Citations,Citation Precision: 96%+ | Peer-Reviewed Evidence Synthesis,"Fast cited research, current-awareness searching, report drafting","['Literature review', 'Academic writing', 'Teaching']",https://www.perplexity.ai/pro
notebooklm,NotebookLM,Google,research,Research,none,-,Free,None (Free / No card needed),False,,,Open Source / 100% Free,Free with a Google account,0.0,True,"Higher limits come with Google AI Pro, which is covered by the Gemini student offer where it applies.",False,United States,False,False,False,free,False,['None Required (100% Free / Open Source)'],[],False,False,False,False,Cloud service (requires Google Account),Corpus: 100M+ Academic Papers & Semantic Citations,Citation Precision: 96%+ | Peer-Reviewed Evidence Synthesis,"Working through a fixed reading list, course materials, or a corpus of papers","['Literature review', 'Teaching', 'Academic writing']",https://notebooklm.google.com
elicit,Elicit,Elicit,research,Research,none,-,Paid plans,"Egyptian Visa, International card",False,,,Freemium / Paid Tier,Free tier · paid plans vary,0.0,True,Academic and student pricing has been offered; terms not re-checked.,False,United States,False,False,False,verified,True,"['Credit Card (Visa / Mastercard)', 'American Express', 'Apple Pay', 'Google Pay']","['USD', 'EUR']",True,False,True,True,Cloud service (web browser),Corpus: 125M+ academic papers,Information Extraction F1: 0.91 on Randomised Controlled Trials,Systematic literature search and data extraction across many papers,['Literature review'],https://elicit.com/pricing
