Tool Name,reassigned_from,New Task,Cost,Payment Methods,Student Discount,Reassignment Reason
ChatGPT,none,Writing & Productivity,Paid plans,"Egyptian Visa, International card",No,-
Claude,none,Writing & Productivity,Paid plans,"Egyptian Visa, International card",No,-
Google Gemini,none,Writing & Productivity,Paid plans,"Egyptian Visa, International card",Student discount,-
Microsoft Copilot,none,Writing & Productivity,Paid plans,"Egyptian Visa, International card",No,-
Grammarly,none,Writing & Productivity,Paid plans,"Egyptian Visa, International card",No,-
DeepL,none,Writing & Productivity,Paid plans,"Egyptian Visa, International card",No,-
QuillBot,none,Writing & Productivity,Paid plans,"Egyptian Visa, International card",No,-
Perplexity,none,Research,Paid plans,"Egyptian Visa, International card",Student discount,-
NotebookLM,none,Research,Free,None (Free / No card needed),No,-
Elicit,none,Research,Paid plans,"Egyptian Visa, International card",No,-
Consensus,none,Research,Paid plans,"Egyptian Visa, International card",No,-
Semantic Scholar,none,Research,Free,None (Free / No card needed),No,-
Connected Papers,none,Research,Paid plans,"Egyptian Visa, International card",No,-
Zotero,none,Research,Free,None (Free / No card needed),No,-
GitHub Copilot,none,Coding & dev tools,Paid plans,"Egyptian Visa, International card",Check current status,-
Cursor,none,Coding & dev tools,Paid plans,"Egyptian Visa, International card",No,-
Claude Code,none,Coding & dev tools,Paid plans,"Egyptian Visa, International card",No,-
Replit,none,Coding & dev tools,Paid plans,"Egyptian Visa, International card",No,-
Midjourney,none,Image & Design,Paid plans,"Egyptian Visa, International card",No,-
Adobe Firefly,none,Image & Design,Paid plans,"Egyptian Visa, International card",Student discount,-
Stable Diffusion,none,Image & Design,Free,None (Free / No card needed),No,-
Leonardo AI,none,Image & Design,Paid plans,"Egyptian Visa, International card",No,-
Runway,none,Video,Paid plans,"Egyptian Visa, International card",No,-
Synthesia,none,Video,Paid plans,"Egyptian Visa, International card",No,-
Descript,none,Video,Paid plans,"Egyptian Visa, International card",No,-
ElevenLabs,none,Audio,Paid plans,"Egyptian Visa, International card",No,-
Whisper,none,Audio,Free,None (Free / No card needed),No,-
Otter.ai,none,Audio,Paid plans,"Egyptian Visa, International card",No,-
Gamma,none,Writing & Productivity,Paid plans,"Egyptian Visa, International card",No,-
Beautiful.ai,none,Writing & Productivity,Paid plans,"Egyptian Visa, International card",No,-
Canva,none,Image & Design,Paid plans,"Egyptian Visa, International card",Student discount,-
Figma,none,Image & Design,Paid plans,"Egyptian Visa, International card",Student discount,-
Notion AI,none,Writing & Productivity,Paid plans,"Egyptian Visa, International card",Student discount,-
n8n,none,Agents & Automation,Free,None (Free / No card needed),No,-
Zapier,none,Agents & Automation,Paid plans,"Egyptian Visa, International card",No,-
Make,none,Agents & Automation,Paid plans,"Egyptian Visa, International card",No,-
Hugging Face,none,Data,Paid plans,"Egyptian Visa, International card",No,-
Google Colab,none,Data,Paid plans,"Egyptian Visa, International card",No,-
Julius AI,none,Data,Paid plans,"Egyptian Visa, International card",No,-
Khanmigo,none,Writing & Productivity,Paid plans,"Egyptian Visa, International card",No,-
browser-use,none,Agents & Automation,Free,None (Free / No card needed),No,-
CrewAI,none,Agents & Automation,Free,None (Free / No card needed),No,-
LangGraph,none,Agents & Automation,Free,None (Free / No card needed),No,-
Microsoft AutoGen,none,Agents & Automation,Free,None (Free / No card needed),No,-
Stagehand,none,Agents & Automation,Free,None (Free / No card needed),No,-
Flowise,none,Agents & Automation,Free,None (Free / No card needed),No,-
Ragas,none,Research,Free,None (Free / No card needed),No,-
Langfuse,none,Agents & Automation,Free,None (Free / No card needed),No,-
Qwen2.5-VL,chinese,Research,Free,None (Free / No card needed),No,"Specialized vision-language model for parsing scientific figures, charts, and technical documents."
