id,tool_name,vendor,previous_category,new_task_category,pricing_model,payment_methods,accepts_egyptian_visa
chatgpt,ChatGPT,OpenAI,writing,Writing & Productivity,freemium,egyptian_visa; international_card; credit_card,Yes
claude,Claude,Anthropic,writing,Writing & Productivity,freemium,egyptian_visa; international_card; credit_card,Yes
gemini,Google Gemini,Google,writing,Writing & Productivity,freemium,egyptian_visa; international_card; credit_card,Yes
copilot365,Microsoft Copilot,Microsoft,productivity,Writing & Productivity,freemium,egyptian_visa; international_card; credit_card,Yes
grammarly,Grammarly,Grammarly,writing,Writing & Productivity,freemium,egyptian_visa; international_card; credit_card,Yes
deepl,DeepL,DeepL SE,writing,Writing & Productivity,freemium,egyptian_visa; international_card; credit_card,Yes
quillbot,QuillBot,Learneo,writing,Writing & Productivity,freemium,egyptian_visa; international_card; credit_card,Yes
perplexity,Perplexity,Perplexity AI,research,Research,freemium,egyptian_visa; international_card; credit_card,Yes
notebooklm,NotebookLM,Google,research,Research,free,none_free,No
elicit,Elicit,Elicit,research,Research,freemium,egyptian_visa; international_card; credit_card,Yes
consensus,Consensus,Consensus,research,Research,freemium,egyptian_visa; international_card; credit_card,Yes
semanticscholar,Semantic Scholar,Allen Institute for AI,research,Research,free,none_free,No
connectedpapers,Connected Papers,Connected Papers,research,Research,freemium,egyptian_visa; international_card; credit_card,Yes
zotero,Zotero,Corporation for Digital Scholarship,research,Research,free,none_free,No
githubcopilot,GitHub Copilot,GitHub / Microsoft,coding,Coding,freemium,egyptian_visa; international_card; credit_card,Yes
cursor,Cursor,Anysphere,coding,Coding,freemium,egyptian_visa; international_card; credit_card,Yes
claudecode,Claude Code,Anthropic,coding,Coding,freemium,egyptian_visa; international_card; credit_card,Yes
replit,Replit,Replit,coding,Coding,freemium,egyptian_visa; international_card; credit_card,Yes
midjourney,Midjourney,Midjourney,image,Image & Design,subscription,egyptian_visa; international_card; credit_card,Yes
firefly,Adobe Firefly,Adobe,image,Image & Design,freemium,egyptian_visa; international_card; credit_card,Yes
stablediffusion,Stable Diffusion,Stability AI and community,image,Image & Design,free,none_free,No
leonardo,Leonardo AI,Leonardo / Canva,image,Image & Design,freemium,egyptian_visa; international_card; credit_card,Yes
runway,Runway,Runway,video,Video,freemium,egyptian_visa; international_card; credit_card,Yes
synthesia,Synthesia,Synthesia,video,Video,subscription,egyptian_visa; international_card; credit_card,Yes
descript,Descript,Descript,video,Video,freemium,egyptian_visa; international_card; credit_card,Yes
elevenlabs,ElevenLabs,ElevenLabs,audio,Audio,freemium,egyptian_visa; international_card; credit_card,Yes
whisper,Whisper,OpenAI (open weights),audio,Audio,free,none_free,No
otter,Otter.ai,Otter.ai,audio,Audio,freemium,egyptian_visa; international_card; credit_card,Yes
gamma,Gamma,Gamma,presentation,Writing & Productivity,freemium,egyptian_visa; international_card; credit_card,Yes
beautifulai,Beautiful.ai,Beautiful.ai,presentation,Writing & Productivity,subscription,egyptian_visa; international_card; credit_card,Yes
canva,Canva,Canva,design,Image & Design,freemium,egyptian_visa; international_card; credit_card,Yes
figma,Figma,Figma,design,Image & Design,freemium,egyptian_visa; international_card; credit_card,Yes
notion,Notion AI,Notion,productivity,Writing & Productivity,freemium,egyptian_visa; international_card; credit_card,Yes
n8n,n8n,n8n,automation,Agents & Automation,free,none_free,No
